maven/mavencentral/ch.qos.logback/logback-classic/1.2.3, EPL-1.0, approved, CQ13636
maven/mavencentral/org.springframework.boot/spring-boot-starter-tomcat/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter-web/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot-starter/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework.boot/spring-boot/2.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.springframework/spring-aop/5.3.6, Apache-2.0, approved, CQ23152
maven/mavencentral/org.springframework/spring-beans/5.3.6, Apache-2.0, approved, CQ23153
maven/mavencentral/org.springframework/spring-context/5.3.6, Apache-2.0, approved, CQ23051
maven/mavencentral/org.springframework/spring-core/5.3.6, Apache-2.0 AND BSD-3-Clause, approved, CQ23154
maven/mavencentral/org.springframework/spring-expression/5.3.6, Apache-2.0, approved, CQ23155
maven/mavencentral/org.springframework/spring-jcl/5.3.6, Apache-2.0, approved, CQ23156
maven/mavencentral/org.springframework/spring-web/5.3.6, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23157
maven/mavencentral/org.springframework/spring-webmvc/5.3.6, Apache-2.0, approved, CQ23158
maven/mavencentral/org.webjars/swagger-ui/3.38.0, Apache-2.0, approved, #1306
maven/mavencentral/org.webjars/webjars-locator-core/0.46, MIT, approved, clearlydefined
maven/mavencentral/org.yaml/snakeyaml/1.27, Apache-2.0, approved, clearlydefined
maven/mavencentral/xml-apis/xml-apis/1.4.01, Apache-2.0 OR LicenseRef-Public-Domain OR W3C, approved, CQ9621
