maven/mavencentral/asm/asm-commons/3.3.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/jena/2.6.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/sdb/1.3.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.hp.hpl.jena/tdb/0.8.10, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.ibm.icu/icu4j/3.4.4, ICU, restricted, clearlydefined
maven/mavencentral/com.jgoodies/jgoodies-common/1.8.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.jgoodies/jgoodies-forms/1.9.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.jgoodies/looks/2.2.2, NOASSERTION, restricted, clearlydefined
maven/mavencentral/com.jhlabs/filters/2.0.235, Apache-2.0, approved, clearlydefined
maven/mavencentral/com.rabbitmq/amqp-client/5.14.0, Apache-2.0, restricted, clearlydefined
maven/mavencentral/com.sun.activation/jakarta.activation/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/com.sun.istack/istack-commons-runtime/3.0.12, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/com.thewebsemantic/jenabean/1.0.6, Apache-2.0, approved, clearlydefined
maven/mavencentral/commons-cli/commons-cli/1.2, Apache-2.0, approved, CQ4578
maven/mavencentral/commons-codec/commons-codec/1.10, Apache-2.0, approved, CQ9217
maven/mavencentral/commons-codec/commons-codec/1.11, Apache-2.0 AND BSD-3-Clause, approved, CQ15971
maven/mavencentral/commons-io/commons-io/2.11.0, Apache-2.0, approved, CQ23745
maven/mavencentral/commons-logging/commons-logging/1.1.3, Apache-2.0, approved, CQ10836
maven/mavencentral/commons-logging/commons-logging/1.2, Apache-2.0, approved, CQ10162
maven/mavencentral/de.atb.context/context-core/2.0.0, , restricted, clearlydefined
maven/mavencentral/de.atb.context/context-monitoring/2.0.0, , restricted, clearlydefined
maven/mavencentral/dk.brics.automaton/automaton/1.11-8, BSD-2-Clause, approved, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.common/4.3.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.editor.core.application/4.3.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.editor.owl.codegeneration/1.0.2, NOASSERTION, restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.editor.owl/4.3.0, NOASSERTION, restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/org.protege.xmlcatalog/1.0.3, NOASSERTION, restricted, clearlydefined
maven/mavencentral/edu.stanford.protege/protege-owlapi-extensions/3.2.4, NOASSERTION, restricted, clearlydefined
maven/mavencentral/jakarta.activation/jakarta.activation-api/1.2.2, EPL-2.0 OR BSD-3-Clause OR GPL-2.0-with-classpath-exception, approved, ee4j.jaf
maven/mavencentral/jakarta.annotation/jakarta.annotation-api/1.3.5, EPL-2.0 OR GPL-2.0-with-classpath-exception, approved, ee4j.ca
maven/mavencentral/jakarta.jws/jakarta.jws-api/2.1.0, , approved, eclipse
maven/mavencentral/jakarta.xml.bind/jakarta.xml.bind-api/2.3.3, BSD-3-Clause, approved, ee4j.jaxb
maven/mavencentral/jakarta.xml.soap/jakarta.xml.soap-api/1.4.2, , approved, eclipse
maven/mavencentral/jakarta.xml.ws/jakarta.xml.ws-api/2.3.3, , approved, eclipse
maven/mavencentral/javax.activation/javax.activation-api/1.2.0, , approved, CQ18740
maven/mavencentral/javax.annotation/javax.annotation-api/1.3.2, CDDL-1.1 OR GPL-2.0, approved, CQ16910
maven/mavencentral/javax.inject/javax.inject/1, Apache-2.0, approved, CQ3555
maven/mavencentral/javax.jws/javax.jws-api/1.1, CDDL-1.1 OR GPL-2.0 WITH Classpath-exception-2.0, approved, CQ18741
maven/mavencentral/javax.servlet/javax.servlet-api/3.1.0, , approved, CQ7248
maven/mavencentral/javax.xml.bind/jaxb-api/2.3.1, CDDL-1.1 OR GPL-2.0, approved, CQ16911
maven/mavencentral/javax.xml.soap/javax.xml.soap-api/1.4.0, GPL-2.0-only with Classpath-exception-2.0 OR CDDL-1.0, approved, #1157
maven/mavencentral/javax.xml.ws/jaxws-api/2.3.1, CDDL-1.1 OR GPL-2.0 WITH Classpath-exception-2.0, approved, CQ18745
maven/mavencentral/javax/javaee-web-api/8.0.1, NOASSERTION, restricted, clearlydefined
maven/mavencentral/jaxen/jaxen/1.1.4, , approved, CQ11159
maven/mavencentral/msv/relaxngDatatype/20030225, , restricted, clearlydefined
maven/mavencentral/msv/xsdlib/20030225, , restricted, clearlydefined
maven/mavencentral/net.sf.jpathwatch/jpathwatch/0.95, NOASSERTION, restricted, clearlydefined
maven/mavencentral/net.sf.supercsv/super-csv/2.4.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/net.sourceforge.cobertura/cobertura/2.0, GPL-2.0-only, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/jfact/1.0.0, LGPL-2.1, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-api/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-apibinding/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-compatibility/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-distribution/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-impl/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-oboformat/5.1.19, BSD-3-Clause, approved, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-parsers/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-rio/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/net.sourceforge.owlapi/owlapi-tools/5.1.19, LGPL-3.0, restricted, clearlydefined
maven/mavencentral/org.apache.ant/ant-launcher/1.7.0, , restricted, clearlydefined
maven/mavencentral/org.apache.ant/ant/1.7.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-collections4/4.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-lang3/3.12.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-rdf-api/0.5.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.commons/commons-text/1.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-core/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-bindings-soap/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-bindings-xml/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-databinding-jaxb/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-frontend-jaxws/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-frontend-simple/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-transports-http-hc/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-transports-http-jetty/3.4.5, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-transports-http/3.4.5, Apache-2.0 AND BSD-3-Clause AND MPL-2.0, approved, #919
maven/mavencentral/org.apache.cxf/cxf-rt-ws-addr/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-ws-policy/3.4.5, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.apache.cxf/cxf-rt-wsdl/3.4.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.felix/org.apache.felix.framework/4.0.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.felix/org.apache.felix.main/4.0.3, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-activation_1.1_spec/1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-javamail_1.4_spec/1.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.geronimo.specs/geronimo-jta_1.1_spec/1.1.1, Apache-2.0, approved, CQ2334
maven/mavencentral/org.apache.geronimo.specs/geronimo-stax-api_1.0_spec/1.0.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/fluent-hc/4.5.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpasyncclient/4.1.4, Apache-2.0, approved, CQ13506
maven/mavencentral/org.apache.httpcomponents/httpclient-cache/4.5.10, Apache-2.0, approved, CQ11714
maven/mavencentral/org.apache.httpcomponents/httpclient-osgi/4.5.10, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.13, Apache-2.0 AND LicenseRef-Public-Domain, approved, CQ23527
maven/mavencentral/org.apache.httpcomponents/httpclient/4.5.6, Apache-2.0, approved, CQ18703
maven/mavencentral/org.apache.httpcomponents/httpcore-nio/4.4.14, Apache-2.0, approved, CQ13509
maven/mavencentral/org.apache.httpcomponents/httpcore-osgi/4.4.12, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.httpcomponents/httpcore/4.4.14, Apache-2.0, approved, CQ23528
maven/mavencentral/org.apache.httpcomponents/httpmime/4.5.10, Apache-2.0, approved, CQ11718
maven/mavencentral/org.apache.james/apache-mime4j-core/0.7.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-api/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.logging.log4j/log4j-slf4j-impl/2.14.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.lucene/lucene-analyzers-common/8.11.0, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.apache.lucene/lucene-core/8.11.0, Apache-2.0, restricted, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-core/1.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-logging-api/1.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.maven.doxia/doxia-sink-api/1.10, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.neethi/neethi/3.1.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.ws.commons.axiom/axiom-api/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.ws.commons.axiom/axiom-c14n/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.ws.commons.axiom/axiom-dom/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.ws.commons.axiom/axiom-impl/1.2.14, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.ws.xmlschema/xmlschema-core/2.2.5, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.apache.xbean/xbean-reflect/3.7, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.checkerframework/checker-qual/3.1.0, MIT, approved, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-classworlds/2.6.0, Apache-2.0 AND Plexus, approved, CQ22821
maven/mavencentral/org.codehaus.plexus/plexus-component-annotations/2.1.0, Apache-2.0, approved, #809
maven/mavencentral/org.codehaus.plexus/plexus-container-default/2.1.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.codehaus.plexus/plexus-utils/3.3.0, , approved, CQ21066
maven/mavencentral/org.codehaus.woodstox/stax2-api/4.2.1, BSD-2-Clause, approved, clearlydefined
maven/mavencentral/org.codehaus.woodstox/woodstox-core-asl/4.1.4, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.codehaus.woodstox/wstx-asl/3.2.9, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.eclipse.core/org.eclipse.core.jobs/3.5.0.v20100515, , approved, eclipse
maven/mavencentral/org.eclipse.equinox/common/3.6.200-v20130402-1505, , approved, eclipse
maven/mavencentral/org.eclipse.equinox/org.eclipse.equinox.common/3.6.0.v20100503, , approved, eclipse
maven/mavencentral/org.eclipse.equinox/org.eclipse.equinox.registry/3.5.0.v20100503, , approved, eclipse
maven/mavencentral/org.eclipse.equinox/registry/3.3.0-v20070522, , approved, eclipse
maven/mavencentral/org.eclipse.jetty/jetty-continuation/9.4.43.v20210629, EPL-2.0 OR Apache-2.0, approved, rt.jetty
maven/mavencentral/org.eclipse.jetty/jetty-http/9.4.43.v20210629, EPL-2.0 OR Apache-2.0, approved, rt.jetty
maven/mavencentral/org.eclipse.jetty/jetty-io/9.4.43.v20210629, EPL-2.0 OR Apache-2.0, approved, rt.jetty
maven/mavencentral/org.eclipse.jetty/jetty-security/9.4.43.v20210629, EPL-2.0 OR Apache-2.0, approved, rt.jetty
maven/mavencentral/org.eclipse.jetty/jetty-server/9.4.43.v20210629, EPL-2.0 OR Apache-2.0, approved, rt.jetty
maven/mavencentral/org.eclipse.jetty/jetty-util/9.4.43.v20210629, EPL-2.0 OR Apache-2.0, approved, rt.jetty
maven/mavencentral/org.eclipse.osgi/org.eclipse.osgi/3.6.0.v20100517, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-model/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-api/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-binary/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-datatypes/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-hdt/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-jsonld/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-languages/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-n3/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-nquads/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-ntriples/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-rdfjson/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-rdfxml/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-trig/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-trix/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-rio-turtle/3.4.3, , approved, eclipse
maven/mavencentral/org.eclipse.rdf4j/rdf4j-util/3.4.3, , approved, eclipse
maven/mavencentral/org.glassfish.jaxb/jaxb-runtime/2.3.4, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/org.glassfish.jaxb/txw2/2.3.4, BSD-3-Clause, approved, ee4j.jaxb-impl
maven/mavencentral/org.javatuples/javatuples/1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.jgrapht/jgrapht-jdk1.5/0.7.3, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.ow2.asm/asm/9.2, BSD-3-Clause, approved, CQ23635
maven/mavencentral/org.projectlombok/lombok/1.18.22, NOASSERTION, restricted, clearlydefined
maven/mavencentral/org.simpleframework/simple-xml/2.7.1, Apache-2.0, approved, clearlydefined
maven/mavencentral/org.slf4j/jcl-over-slf4j/1.7.32, Apache-2.0, approved, CQ12843
maven/mavencentral/org.slf4j/slf4j-api/1.7.32, MIT, approved, CQ13368
maven/mavencentral/org.swinglabs/swing-worker/1.1, LGPL-2.0-or-later, restricted, clearlydefined
maven/mavencentral/org.swinglabs/swingx/1.6.1, LGPL-2.1-or-later, restricted, clearlydefined
maven/mavencentral/org.tukaani/xz/1.6, NOASSERTION, restricted, clearlydefined
maven/mavencentral/oro/oro/2.0.8, Apache-1.1, approved, clearlydefined
maven/mavencentral/stax/stax-api/1.0.1, CDDL-1.0, approved, CQ4023
maven/mavencentral/stax/stax/1.2.0, Apache-2.0, approved, clearlydefined
maven/mavencentral/wsdl4j/wsdl4j/1.6.3, CPL-1.0, approved, CQ7981
maven/mavencentral/xerces/xercesImpl/2.7.1, , restricted, clearlydefined
maven/mavencentral/xml-resolver/xml-resolver/1.2, Apache-2.0, approved, clearlydefined
maven/mavencentral/xpp3/xpp3/1.1.3.3, , approved, CQ6229
