npm/npmjs/-/JSONStream/1.3.5, MIT OR Apache-2.0, approved, clearlydefined
npm/npmjs/-/color-convert/1.9.3, MIT, approved, clearlydefined
npm/npmjs/-/color-convert/2.0.1, MIT, approved, clearlydefined
npm/npmjs/-/color-name/1.1.3, MIT, approved, clearlydefined
npm/npmjs/-/color-name/1.1.4, MIT, approved, clearlydefined
npm/npmjs/-/color-string/0.3.0, MIT, approved, clearlydefined
npm/npmjs/-/color/0.11.4, MIT, approved, clearlydefined
npm/npmjs/-/colorette/1.2.2, MIT, approved, clearlydefined
npm/npmjs/-/colormin/1.1.2, MIT, approved, clearlydefined
npm/npmjs/-/colors/1.1.2, MIT, approved, clearlydefined
npm/npmjs/-/colors/1.4.0, MIT, approved, clearlydefined
npm/npmjs/-/columnify/1.5.4, MIT, approved, clearlydefined
npm/npmjs/-/combined-stream/1.0.8, MIT, approved, clearlydefined
npm/npmjs/-/command-join/2.0.1, MIT, approved, clearlydefined
npm/npmjs/-/commander/2.17.1, MIT, approved, clearlydefined
npm/npmjs/-/commander/2.20.3, MIT, approved, clearlydefined
npm/npmjs/-/commander/7.2.0, MIT, approved, clearlydefined
npm/npmjs/-/commondir/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/compare-func/1.3.4, MIT, approved, clearlydefined
npm/npmjs/-/concat-map/0.0.1, MIT, approved, clearlydefined
npm/npmjs/-/concat-stream/1.6.2, MIT, approved, clearlydefined
npm/npmjs/-/conf/6.2.4, MIT, approved, clearlydefined
npm/npmjs/-/config-chain/1.1.13, MIT, approved, clearlydefined
npm/npmjs/-/console-control-strings/1.1.0, ISC, approved, clearlydefined
npm/npmjs/-/content-disposition/0.5.3, MIT, approved, clearlydefined
npm/npmjs/-/content-type/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/contour_plot/0.0.1, MIT, restricted, clearlydefined
npm/npmjs/-/conventional-changelog-angular/1.6.6, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-atom/0.2.8, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-cli/1.3.22, MIT, approved, clearlydefined
npm/npmjs/-/conventional-changelog-codemirror/0.3.8, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-core/2.0.11, MIT, approved, clearlydefined
npm/npmjs/-/conventional-changelog-ember/0.3.12, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-eslint/1.0.9, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-express/0.3.6, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-jquery/0.1.0, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-jscs/0.1.0, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-jshint/0.3.8, ISC, approved, clearlydefined
npm/npmjs/-/conventional-changelog-preset-loader/1.1.8, MIT, approved, clearlydefined
npm/npmjs/-/conventional-changelog-writer/3.0.9, MIT, approved, clearlydefined
npm/npmjs/-/conventional-changelog/1.1.24, MIT, approved, clearlydefined
npm/npmjs/-/conventional-commits-filter/1.1.6, MIT, approved, clearlydefined
npm/npmjs/-/conventional-commits-parser/2.1.7, MIT, approved, clearlydefined
npm/npmjs/-/conventional-recommended-bump/1.2.1, MIT, approved, clearlydefined
npm/npmjs/-/convert-source-map/1.8.0, MIT, approved, clearlydefined
npm/npmjs/-/cookie-signature/1.0.6, MIT, approved, clearlydefined
npm/npmjs/-/cookie/0.4.0, MIT, approved, clearlydefined
npm/npmjs/-/cookie/0.4.1, MIT, approved, clearlydefined
npm/npmjs/-/copy-anything/2.0.3, MIT, restricted, clearlydefined
npm/npmjs/-/copy-concurrently/1.0.5, ISC, approved, clearlydefined
npm/npmjs/-/copy-webpack-plugin/8.1.1, MIT, approved, clearlydefined
npm/npmjs/-/core-js-compat/3.15.2, MIT, approved, clearlydefined
npm/npmjs/-/core-js/2.6.12, MIT, approved, clearlydefined
npm/npmjs/-/core-js/3.15.2, MIT, approved, clearlydefined
npm/npmjs/-/core-js/3.18.0, MIT, approved, clearlydefined
npm/npmjs/-/core-util-is/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/cp-file/6.2.0, MIT, approved, clearlydefined
npm/npmjs/-/crc-32/1.2.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/cross-spawn-async/2.2.5, MIT, approved, clearlydefined
npm/npmjs/-/cross-spawn/4.0.2, MIT, approved, clearlydefined
npm/npmjs/-/cross-spawn/5.1.0, MIT, approved, clearlydefined
npm/npmjs/-/cross-spawn/7.0.3, MIT, approved, clearlydefined
npm/npmjs/-/crypto-js/4.1.1, MIT, restricted, clearlydefined
npm/npmjs/-/css-color-names/0.0.4, MIT, approved, clearlydefined
npm/npmjs/-/css-loader/0.26.4, MIT, approved, clearlydefined
npm/npmjs/-/css-loader/0.28.11, MIT, approved, clearlydefined
npm/npmjs/-/css-selector-tokenizer/0.7.3, MIT, approved, clearlydefined
npm/npmjs/-/css-unit-converter/1.1.2, MIT, approved, clearlydefined
npm/npmjs/-/css-vendor/2.0.8, MIT, approved, clearlydefined
npm/npmjs/-/cssesc/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/cssnano/3.10.0, MIT, approved, clearlydefined
npm/npmjs/-/csso/2.3.2, MIT, approved, clearlydefined
npm/npmjs/-/cssom/0.3.8, MIT, approved, clearlydefined
npm/npmjs/-/cssom/0.4.4, MIT, approved, clearlydefined
npm/npmjs/-/cssstyle/2.3.0, MIT, approved, clearlydefined
npm/npmjs/-/csstype/2.6.17, MIT, approved, clearlydefined
npm/npmjs/-/csstype/3.0.8, MIT, approved, clearlydefined
npm/npmjs/-/currently-unhandled/0.4.1, MIT, approved, clearlydefined
npm/npmjs/-/cyclist/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/d/1.0.1, ISC, approved, clearlydefined
npm/npmjs/-/d3-array/2.12.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-color/1.4.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-color/2.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-dispatch/1.0.6, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-dispatch/2.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-ease/1.0.7, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-force/2.1.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-format/2.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-geo-projection/3.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-geo/2.0.2, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-interpolate/1.4.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-interpolate/2.0.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-path/1.0.9, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-path/2.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-quadtree/2.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-scale/3.3.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-selection/1.4.2, BSD-3-Clause, restricted, clearlydefined
npm/npmjs/-/d3-shape/1.3.7, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-shape/2.1.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-time-format/3.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-time/2.1.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-timer/1.0.10, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-timer/2.0.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/d3-transition/1.3.2, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/dargs/4.1.0, MIT, approved, clearlydefined
npm/npmjs/-/dash-ast/1.0.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/dashdash/1.14.1, MIT, approved, clearlydefined
npm/npmjs/-/data-urls/2.0.0, MIT, approved, clearlydefined
npm/npmjs/-/dateformat/3.0.3, MIT, approved, clearlydefined
npm/npmjs/-/debounce-fn/3.0.1, MIT, approved, clearlydefined
npm/npmjs/-/debug/0.8.1, MIT, approved, clearlydefined
npm/npmjs/-/debug/2.6.9, MIT, approved, clearlydefined
npm/npmjs/-/debug/3.2.6, MIT, approved, clearlydefined
npm/npmjs/-/debug/3.2.7, MIT, approved, clearlydefined
npm/npmjs/-/debug/4.3.2, MIT, approved, clearlydefined
npm/npmjs/-/decamelize-keys/1.1.0, MIT, approved, clearlydefined
npm/npmjs/-/decamelize/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/decimal.js-light/2.5.1, MIT, approved, clearlydefined
npm/npmjs/-/decimal.js/10.3.1, MIT, approved, clearlydefined
npm/npmjs/-/decompress-response/3.3.0, MIT, approved, clearlydefined
npm/npmjs/-/decompress-response/4.2.1, MIT, approved, clearlydefined
npm/npmjs/-/decompress-tar/4.1.1, MIT, approved, clearlydefined
npm/npmjs/-/decompress-tarbz2/4.1.1, MIT, approved, clearlydefined
npm/npmjs/-/decompress-targz/4.1.1, MIT, approved, clearlydefined
npm/npmjs/-/decompress-unzip/4.0.1, MIT, approved, clearlydefined
npm/npmjs/-/decompress/4.2.1, MIT, approved, clearlydefined
npm/npmjs/-/dedent/0.7.0, MIT, approved, clearlydefined
npm/npmjs/-/deep-eql/3.0.1, MIT, approved, clearlydefined
npm/npmjs/-/deep-equal/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/deep-extend/0.6.0, MIT, approved, clearlydefined
npm/npmjs/-/deep-is/0.1.4, MIT, approved, clearlydefined
npm/npmjs/-/deepmerge/2.0.1, MIT, approved, clearlydefined
npm/npmjs/-/default-shell/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/defaults/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/defer-to-connect/1.1.3, MIT, approved, clearlydefined
npm/npmjs/-/define-properties/1.1.3, MIT, approved, clearlydefined
npm/npmjs/-/defined/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/delayed-stream/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/delegates/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/depd/1.1.2, MIT, approved, clearlydefined
npm/npmjs/-/destroy/1.0.4, MIT, approved, clearlydefined
npm/npmjs/-/detect-indent/5.0.0, MIT, approved, clearlydefined
npm/npmjs/-/detect-libc/1.0.3, Apache-2.0, approved, clearlydefined
npm/npmjs/-/detect-node/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/dfa/1.2.0, MIT, approved, clearlydefined
npm/npmjs/-/diff/3.5.0, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/dir-glob/2.2.2, MIT, approved, clearlydefined
npm/npmjs/-/dir-glob/3.0.1, MIT, approved, clearlydefined
npm/npmjs/-/dom-helpers/3.4.0, MIT, approved, CQ22349
npm/npmjs/-/dom-helpers/5.2.1, MIT, approved, clearlydefined
npm/npmjs/-/domexception/2.0.1, MIT, approved, clearlydefined
npm/npmjs/-/dompurify/2.3.0, Apache-2.0 OR MPL-2.0 OR (Apache-2.0 AND MPL-2.0), approved, clearlydefined
npm/npmjs/-/dot-prop/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/dot-prop/5.3.0, MIT, approved, clearlydefined
npm/npmjs/-/dotignore/0.1.2, MIT, approved, clearlydefined
npm/npmjs/-/drivelist/9.2.4, Apache-2.0, approved, #264
npm/npmjs/-/duplexer/0.1.2, MIT, approved, #1002
npm/npmjs/-/duplexer2/0.1.4, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/duplexer3/0.1.4, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/duplexify/3.7.1, MIT, approved, clearlydefined
npm/npmjs/-/ecc-jsbn/0.1.2, MIT, approved, clearlydefined
npm/npmjs/-/ee-first/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/electron-download/4.1.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/electron-rebuild/1.11.0, MIT, approved, clearlydefined
npm/npmjs/-/electron-store/5.2.0, MIT, approved, clearlydefined
npm/npmjs/-/electron-to-chromium/1.3.784, ISC, approved, #1204
npm/npmjs/-/electron/9.4.4, MIT, approved, clearlydefined
npm/npmjs/-/emoji-regex/7.0.3, MIT, approved, clearlydefined
npm/npmjs/-/emoji-regex/8.0.0, MIT, approved, clearlydefined
npm/npmjs/-/emojis-list/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/emojis-list/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/encodeurl/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/end-of-stream/1.4.4, MIT, approved, clearlydefined
npm/npmjs/-/enhanced-resolve/5.8.2, MIT, approved, clearlydefined
npm/npmjs/-/entities/1.1.2, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/env-paths/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/env-paths/2.2.1, MIT, approved, clearlydefined
npm/npmjs/-/envinfo/7.8.1, MIT, approved, clearlydefined
npm/npmjs/-/errno/0.1.8, MIT, approved, clearlydefined
npm/npmjs/-/error-ex/1.3.2, MIT, approved, clearlydefined
npm/npmjs/-/es-abstract/1.18.3, MIT, approved, clearlydefined
npm/npmjs/-/es-module-lexer/0.7.1, MIT, approved, clearlydefined
npm/npmjs/-/es-to-primitive/1.2.1, MIT, approved, clearlydefined
npm/npmjs/-/es5-ext/0.10.53, ISC, restricted, clearlydefined
npm/npmjs/-/es6-error/4.1.1, MIT, approved, clearlydefined
npm/npmjs/-/es6-iterator/2.0.3, MIT, approved, clearlydefined
npm/npmjs/-/es6-map/0.1.5, MIT, approved, clearlydefined
npm/npmjs/-/es6-promise/4.2.8, MIT, approved, clearlydefined
npm/npmjs/-/es6-set/0.1.5, MIT, approved, clearlydefined
npm/npmjs/-/es6-symbol/3.1.1, MIT, approved, clearlydefined
npm/npmjs/-/es6-symbol/3.1.3, ISC, approved, clearlydefined
npm/npmjs/-/escalade/3.1.1, MIT, approved, clearlydefined
npm/npmjs/-/escape-html/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/escape-string-regexp/1.0.5, MIT, approved, clearlydefined
npm/npmjs/-/escape-string-regexp/4.0.0, MIT, approved, clearlydefined
npm/npmjs/-/escodegen/1.14.3, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/escodegen/1.2.0, BSD-2-Clause, restricted, clearlydefined
npm/npmjs/-/escodegen/2.0.0, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/eslint-scope/5.1.1, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/esprima/1.0.4, BSD-2-Clause, restricted, clearlydefined
npm/npmjs/-/esprima/2.7.3, BSD-2-Clause, restricted, clearlydefined
npm/npmjs/-/esprima/3.1.3, BSD-2-Clause, approved, #947
npm/npmjs/-/esprima/4.0.1, BSD-2-Clause, approved, #995
npm/npmjs/-/esrecurse/4.3.0, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/estraverse/1.5.1, BSD-2-Clause, restricted, clearlydefined
npm/npmjs/-/estraverse/4.3.0, BSD-2-Clause, approved, #518
npm/npmjs/-/estraverse/5.2.0, BSD-2-Clause AND MIT, approved, #881
npm/npmjs/-/estree-is-function/1.0.0, Apache-2.0, approved, clearlydefined
npm/npmjs/-/esutils/1.0.0, BSD-2-Clause, restricted, clearlydefined
npm/npmjs/-/esutils/2.0.3, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/etag/1.8.1, MIT, approved, clearlydefined
npm/npmjs/-/event-emitter/0.3.5, MIT, approved, clearlydefined
npm/npmjs/-/eventemitter3/4.0.7, MIT, approved, clearlydefined
npm/npmjs/-/events/3.3.0, MIT, approved, clearlydefined
npm/npmjs/-/execa/0.2.2, MIT, approved, clearlydefined
npm/npmjs/-/execa/0.5.1, MIT, approved, clearlydefined
npm/npmjs/-/execa/0.7.0, MIT, approved, clearlydefined
npm/npmjs/-/execa/0.8.0, MIT, approved, clearlydefined
npm/npmjs/-/execa/5.1.1, MIT, approved, clearlydefined
npm/npmjs/-/exit-on-epipe/1.0.1, Apache-2.0, approved, clearlydefined
npm/npmjs/-/expand-template/2.0.3, MIT OR WTFPL, restricted, clearlydefined
npm/npmjs/-/express/4.17.1, BSD-3-Clause AND MIT, approved, CQ20009
npm/npmjs/-/ext/1.6.0, ISC, approved, clearlydefined
npm/npmjs/-/extend/3.0.2, MIT, approved, clearlydefined
