npm/npmjs/-/ansi-escapes/4.3.2, MIT, approved, clearlydefined
npm/npmjs/-/follow-redirects/1.14.4, MIT, approved, clearlydefined
npm/npmjs/-/fs-extra/10.0.0, MIT, approved, clearlydefined
npm/npmjs/-/fs.realpath/1.0.0, ISC, approved, clearlydefined
npm/npmjs/-/function-bind/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/get-caller-file/2.0.5, ISC, approved, clearlydefined
npm/npmjs/-/glob/7.1.6, ISC, approved, #994
npm/npmjs/-/graceful-fs/4.2.8, ISC, approved, clearlydefined
npm/npmjs/-/has-flag/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/has-flag/4.0.0, MIT, approved, clearlydefined
npm/npmjs/-/has/1.0.3, MIT, approved, clearlydefined
npm/npmjs/-/hosted-git-info/2.8.9, ISC, approved, clearlydefined
npm/npmjs/-/iconv-lite/0.4.24, MIT, approved, clearlydefined
npm/npmjs/-/ieee754/1.2.1, BSD-3-Clause, approved, clearlydefined
npm/npmjs/-/inflight/1.0.6, ISC, approved, clearlydefined
npm/npmjs/-/inherits/2.0.4, ISC, approved, clearlydefined
npm/npmjs/-/inquirer/8.1.2, MIT, approved, clearlydefined
npm/npmjs/-/is-arrayish/0.2.1, MIT, approved, clearlydefined
npm/npmjs/-/is-core-module/2.6.0, MIT, approved, clearlydefined
npm/npmjs/-/is-fullwidth-code-point/3.0.0, MIT, approved, clearlydefined
npm/npmjs/-/is-interactive/1.0.0, MIT, approved, clearlydefined
npm/npmjs/-/is-unicode-supported/0.1.0, MIT, approved, clearlydefined
npm/npmjs/-/iterare/1.2.1, ISC, approved, clearlydefined
npm/npmjs/-/js-tokens/4.0.0, MIT, approved, clearlydefined
npm/npmjs/-/json-parse-even-better-errors/2.3.1, MIT, approved, clearlydefined
npm/npmjs/-/jsonfile/6.1.0, MIT, approved, clearlydefined
npm/npmjs/-/lines-and-columns/1.1.6, MIT, approved, clearlydefined
npm/npmjs/-/lodash/4.17.21, MIT, approved, clearlydefined
npm/npmjs/-/log-symbols/4.1.0, MIT, approved, clearlydefined
npm/npmjs/-/mimic-fn/2.1.0, MIT, approved, clearlydefined
npm/npmjs/-/minimatch/3.0.4, ISC, approved, clearlydefined
npm/npmjs/-/mute-stream/0.0.8, ISC, approved, clearlydefined
npm/npmjs/-/node-fetch/2.6.2, MIT, approved, clearlydefined
npm/npmjs/-/normalize-package-data/2.5.0, BSD-2-Clause, approved, clearlydefined
npm/npmjs/-/object-hash/2.1.1, MIT, approved, clearlydefined
npm/npmjs/-/once/1.4.0, ISC, approved, clearlydefined
npm/npmjs/-/onetime/5.1.2, MIT, approved, clearlydefined
npm/npmjs/-/ora/5.4.1, MIT, approved, clearlydefined
npm/npmjs/-/os-tmpdir/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/parse-json/5.2.0, MIT, approved, clearlydefined
npm/npmjs/-/path-is-absolute/1.0.1, MIT, approved, clearlydefined
npm/npmjs/-/path-parse/1.0.7, MIT, approved, clearlydefined
npm/npmjs/-/path-to-regexp/3.2.0, MIT, approved, clearlydefined
npm/npmjs/-/read-pkg/5.2.0, MIT, approved, clearlydefined
npm/npmjs/-/readable-stream/3.6.0, MIT, approved, CQ22627
npm/npmjs/-/reflect-metadata/0.1.13, Apache-2.0, approved, clearlydefined
npm/npmjs/-/require-directory/2.1.1, MIT, approved, clearlydefined
npm/npmjs/-/resolve/1.20.0, MIT, approved, clearlydefined
npm/npmjs/-/restore-cursor/3.1.0, MIT, approved, clearlydefined
npm/npmjs/-/run-async/2.4.1, MIT, approved, clearlydefined
npm/npmjs/-/rxjs/6.6.7, Apache-2.0 AND MIT, approved, #941
npm/npmjs/-/rxjs/7.3.0, Apache-2.0, restricted, clearlydefined
npm/npmjs/-/safe-buffer/5.1.2, MIT, approved, clearlydefined
npm/npmjs/-/safer-buffer/2.1.2, MIT, approved, clearlydefined
npm/npmjs/-/semver/5.7.1, ISC, approved, clearlydefined
npm/npmjs/-/signal-exit/3.0.4, ISC, approved, clearlydefined
npm/npmjs/-/spawn-command/0.0.2-1, MIT, approved, #266
npm/npmjs/-/spdx-correct/3.1.1, Apache-2.0, approved, #990
npm/npmjs/-/spdx-exceptions/2.3.0, CC-BY-3.0, approved, clearlydefined
npm/npmjs/-/spdx-expression-parse/3.0.1, MIT, approved, #1127
npm/npmjs/-/spdx-license-ids/3.0.10, CC0-1.0, approved, #989
npm/npmjs/-/string-width/4.2.2, MIT, approved, clearlydefined
npm/npmjs/-/string_decoder/1.1.1, MIT, approved, clearlydefined
npm/npmjs/-/strip-ansi/6.0.0, MIT, approved, clearlydefined
npm/npmjs/-/supports-color/5.5.0, MIT, approved, clearlydefined
npm/npmjs/-/supports-color/7.2.0, MIT, approved, clearlydefined
npm/npmjs/-/supports-color/8.1.1, MIT, approved, clearlydefined
npm/npmjs/-/through/2.3.8, Apache-2.0 AND MIT, approved, #1036
npm/npmjs/-/tmp/0.0.33, MIT, approved, clearlydefined
npm/npmjs/-/tree-kill/1.2.2, MIT, approved, clearlydefined
npm/npmjs/-/tslib/1.13.0, 0BSD, approved, CQ22357
npm/npmjs/-/tslib/2.1.0, 0BSD, approved, clearlydefined
npm/npmjs/-/tslib/2.2.0, 0BSD, approved, #899
npm/npmjs/-/type-fest/0.21.3, MIT OR (CC0-1.0 AND MIT), approved, clearlydefined
npm/npmjs/-/type-fest/0.6.0, MIT OR (CC0-1.0 AND MIT), approved, clearlydefined
npm/npmjs/-/universalify/2.0.0, MIT, approved, clearlydefined
npm/npmjs/-/util-deprecate/1.0.2, MIT, approved, clearlydefined
npm/npmjs/-/uuid/8.3.2, MIT, approved, clearlydefined
npm/npmjs/-/validate-npm-package-license/3.0.4, Apache-2.0, approved, clearlydefined
npm/npmjs/-/wcwidth/1.0.1, MIT, approved, #944
npm/npmjs/-/wrap-ansi/7.0.0, MIT, approved, clearlydefined
npm/npmjs/-/wrappy/1.0.2, ISC, approved, clearlydefined
npm/npmjs/-/y18n/5.0.8, ISC, approved, clearlydefined
npm/npmjs/-/yargs-parser/20.2.9, ISC, approved, clearlydefined
npm/npmjs/-/yargs/16.2.0, MIT, approved, clearlydefined
npm/npmjs/@babel/code-frame/7.14.5, MIT, approved, clearlydefined
npm/npmjs/@babel/helper-validator-identifier/7.14.9, MIT, approved, clearlydefined
npm/npmjs/@babel/highlight/7.14.5, MIT, approved, clearlydefined
npm/npmjs/@nestjs/common/7.6.18, MIT, approved, clearlydefined
npm/npmjs/@nestjs/core/7.6.18, MIT, approved, clearlydefined
npm/npmjs/@nuxtjs/opencollective/0.3.2, MIT, approved, clearlydefined
npm/npmjs/@openapitools/openapi-generator-cli/2.4.1, Apache-2.0, approved, clearlydefined
npm/npmjs/@types/js-yaml/4.0.3, MIT, approved, clearlydefined
npm/npmjs/@types/normalize-package-data/2.4.1, MIT, approved, clearlydefined
